"IMPORTANT FILOGENETIC" LINES from 0-th step to global "end of life" in 307-th step
MODEL PARAMETERS:
ROZMIAR=	300x150
MAPA=	
WYPOSAZENIE_POTOMSTWA=	0.05
EFEKTYWNOSC_AUTOTROFA=	0.5
MAX_WIEK=	50
PLODNOSC=	0.2
RTG=	0.000625
PRAWDOPODOBIENSTWO KATASTROF=	0(disabled)
EKSPLOATACJA=	DRAPIEZNICZA
DYSTANS RUCHU=	1
BIT_STABILIZACJI_RUCHU=	1024
ELASTYCZNE MIJANIE=	YES
MONTECARLO STEPS per STEP=	10

FULLCODE	ORDNUMBER	ANCORDNUM	BEGSTEP	ENDSTEP	LIFETIME	CURRAGENTS	ALLAGENTS	FEEDNISHE	DEFFNISHE	FEEDSPEC	DEFFSPEC	SPECJALIS	NISHENAME
7f3f_1186	4486	2849	99	268	169	0	5105	127	63	7	6	13	7f3f	
7f1f_2e0d	11789	4486	177	264	87	0	1033	127	31	7	5	12	7f1f	
7f3f_15c9	5577	2849	111	119	8	0	15	127	63	7	6	13	7f3f	
ff1f_1a05	6661	2849	124		183	496	62870	255	31	8	5	13	ff1f	
ff3f_27de	10206	6661	163	203	40	0	209	255	63	8	6	14	ff3f	
ff1b_2eae	11950	6661	178		129	24	2440	255	27	8	4	12	ff1b	
ff9b_36aa	13994	11950	195	197	2	0	1	255	155	8	5	13	ff9b	
ff8b_375e	14174	13994	197	210	13	0	15	255	139	8	4	12	ff8b	
7f1b_6cd4	27860	11950	307		0	1	1	127	27	7	4	11	7f1b	
7f1f_37a4	14244	6661	197	268	71	0	456	127	31	7	5	12	7f1f	
ff1e_3c97	15511	6661	207		100	34	2257	255	30	8	4	12	ff1e	
ff1a_4a8b	19083	15511	236	304	68	0	724	255	26	8	3	11	ff1a	
ff1a_687b	26747	15511	298		9	13	30	255	26	8	3	11	ff1a	
fe1e_6caf	27823	15511	307		0	1	1	254	30	7	4	11	fe1e	
fff_40f6	16630	6661	216	291	75	0	382	255	15	8	4	12	fff	
fff_42cb	17099	6661	220	301	81	0	866	255	15	8	4	12	fff	
ff5f_45df	17887	6661	227	266	39	0	119	255	95	8	6	14	ff5f	
ff17_474f	18255	6661	229	272	43	0	314	255	23	8	4	12	ff17	
ff1e_4854	18516	6661	231	237	6	0	7	255	30	8	4	12	ff1e	
7f1f_4e26	20006	6661	244	282	38	0	118	127	31	7	5	12	7f1f	
ff3f_5131	20785	6661	250	255	5	0	6	255	63	8	6	14	ff3f	
ff1e_536f	21359	6661	254		53	9	560	255	30	8	4	12	ff1e	
ff3f_5c7a	23674	6661	273		34	8	122	255	63	8	6	14	ff3f	
ff1b_5ddc	24028	6661	276		31	4	466	255	27	8	4	12	ff1b	
fff_6120	24864	6661	282		25	2	75	255	15	8	4	12	fff	
ff1b_69ee	27118	6661	301		6	9	30	255	27	8	4	12	ff1b	
ff1d_6a0e	27150	6661	302		5	2	8	255	29	8	4	12	ff1d	
7f1d_6cbd	27837	27150	307		0	1	1	127	29	7	4	11	7f1d	
ef1f_6b20	27424	6661	304		3	1	1	239	31	7	5	12	ef1f	
ff3f_6bd3	27603	6661	305		2	5	6	255	63	8	6	14	ff3f	
ff2f_6cb0	27824	27603	307		0	1	1	255	47	8	5	13	ff2f	
ef1f_6c4b	27723	6661	306		1	1	1	239	31	7	5	12	ef1f	
f71f_6c61	27745	6661	306		1	1	1	247	31	7	5	12	f71f	
ff3f_6c6c	27756	6661	307		0	1	1	255	63	8	6	14	ff3f	
fd1f_6c7b	27771	6661	307		0	1	1	253	31	7	5	12	fd1f	
ff3f_6ca3	27811	6661	307		0	1	1	255	63	8	6	14	ff3f	
fff_6cbf	27839	6661	307		0	1	1	255	15	8	4	12	fff	
ff1b_6cc8	27848	6661	307		0	1	1	255	27	8	4	12	ff1b	
ff17_6cc9	27849	6661	307		0	1	1	255	23	8	4	12	ff17	
ff9f_6cd1	27857	6661	307		0	1	1	255	159	8	6	14	ff9f	
ff1f_1cc4	7364	2849	134		173	154	20941	255	31	8	5	13	ff1f	
ff1e_20b8	8376	7364	145		162	17	5207	255	30	8	4	12	ff1e	
bf1e_2dd0	11728	8376	176	190	14	0	56	191	30	7	4	11	bf1e	
ff3e_4c9f	19615	8376	241	262	21	0	68	255	62	8	5	13	ff3e	
7f3e_509e	20638	19615	249	271	22	0	47	127	62	7	5	12	7f3e	
ff1f_5ae1	23265	8376	270		37	6	458	255	31	8	5	13	ff1f	
ff1e_3286	12934	7364	186	195	9	0	14	255	30	8	4	12	ff1e	
bf1f_337d	13181	7364	188	204	16	0	42	191	31	7	5	12	bf1f	
ff1e_3791	14225	7364	197	269	72	0	885	255	30	8	4	12	ff1e	
ff1b_520f	21007	7364	252		55	4	367	255	27	8	4	12	ff1b	
ff1d_5795	22421	7364	263	297	34	0	179	255	29	8	4	12	ff1d	
fff_5d24	23844	7364	275		32	12	98	255	15	8	4	12	fff	
ff7_6c9e	27806	23844	307		0	2	2	255	7	8	3	11	ff7	
ff2f_2058	8280	2849	144	180	36	0	158	255	47	8	5	13	ff2f	
ff1f_256e	9582	2849	157	283	126	0	3104	255	31	8	5	13	ff1f	
fff_5076	20598	9582	249		58	46	995	255	15	8	4	12	fff	
ff7_5c97	23703	20598	273		34	8	204	255	7	8	3	11	ff7	
ffd_695c	26972	20598	300		7	9	33	255	13	8	3	11	ffd	
eff_6c6f	27759	20598	307		0	1	1	239	15	7	4	11	eff	
7f7f_cb0	3248	63	85	239	154	0	2568	127	127	7	7	14	7f7f	
7f7d_141f	5151	3248	106	221	115	0	816	127	125	7	6	13	7f7d	
7f77_1d1b	7451	3248	135	189	54	0	356	127	119	7	6	13	7f77	
3f77_2b3d	11069	7451	171		136	51	9308	63	119	6	6	12	3f77	
1f77_4482	17538	11069	224		83	104	2865	31	119	5	6	11	1f77	
1f37_4ebc	20156	17538	245		62	114	2327	31	55	5	5	10	1f37	
